objectid,objectnumber,title,displaydate,datebegin,dateend,displaymaker,displayculture,displayperiod,medium,classification,displaygeography,accessionyear,department
44130,x1983-900,Clarence White and Jean Reynolds,ca. 1906,1901,1911,Unknown photographer,,,Cyanotype,Photographs,"Place made: North America, United States",1983-01-01,Photography Archives
81550,x1983-1894,"Untitled [Clarence White School, Washington Irving House, 122 East 17th Street, New York]",1917,1917,1917,Josephine Wallace student of Clarence H. White,,,Bromoil print,Photographs,,1983-01-01,Photography Archives
51089,x1983-1611,Clarence White,ca. 1906,1906,1906,"F. Holland Day, American, 1864–1933",,,Platinum print,Photographs,"Place made: North America, United States",1983-01-01,Photography Archives
71432,x1983-1634,Clarence H. White,1912,1912,1912,Unknown photographer,,,Platinum print,Photographs,,1983-01-01,Photography Archives
43070,CHW 001,Clarence H. White,ca. 1908–1910,1908,0,"Clarence H. White, American, 1871–1925",,,Autochrome,Photographs,,,Photography Archives
71443,x1983-1643,Clarence H. White,1907,1907,1907,"Alvin Langdon Coburn, British, born United States, 1882–1966",,,Platinum print,Photographs,"Place made: North America, United States, New York, New York",1983-01-01,Photography Archives
13875,x1977-52,Graeco-Buddhist Head in St. Louis,,1912,1972,"Clarence Kennedy, American, 1892–1972",,,Photograph,Photographs,"Place made: North America, United States, Missouri, St. Louis",1977-01-01,Photography
50419,x1983-691,,1907,1907,1907,"Clarence H. White, American, 1871–1925",,,,,Place made: United States,1983-01-01,Photography Archives
50778,x1983-761,,ca. 1916,1916,1916,"Clarence H. White, American, 1871–1925",,,,,,1983-01-01,Photography Archives
25685,x1983-625,Nude posed indoors [13 v],ca. 1920–1925,1920,0,"Clarence H. White, American, 1871–1925",,,,,Place made: United States,1983-01-01,Photography Archives
43101,x1983-283,Portrait of Mrs. Watnis [14 v],ca. 1919,1919,0,"Clarence H. White, American, 1871–1925",,,,,Place made: United States,1983-01-01,Photography Archives
13159,x1976-259,Portrait of Clarence H. White,,1900,1956,"Paul Lewis Anderson, American, 1880–1956",,,Platinum print,Photographs,,1976-01-01,Photography
13897,x1977-53,Graeco-Buddhist Head in St. Louis,,1912,1972,"Clarence Kennedy, American, 1892–1972",,,Photograph,Photographs,"Place made: North America, United States, Missouri, St. Louis",1977-01-01,Photography
81200,x1983-1678,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
65153,x1983-1613,Portrait of Clarence H. White,ca. 1906,1901,1911,"F. Holland Day, American, 1864–1933",,,,Photographs,,1983-01-01,Photography Archives
81202,x1983-1680,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
50364,x1983-1292,Portrait of an unidentified woman [2/2],ca. 1902,1902,1902,"Clarence H. White, American, 1871–1925",,,Unknown,,Place made: United States,1983-01-01,Photography Archives
18639,x1993-182,Little Frightened Ghost (The Poet's Vison of the Tree),1952,1952,1952,"Clarence John Laughlin, American, 1905–1985",,,Gelatin silver print,Photographs,,1993-01-01,Photography
50701,x1983-661,,1911,1911,1911,"Clarence H. White, American, 1871–1925",,,,,,1983-01-01,Photography Archives
38885,x1983-736,"Croton, New York, Dam [7 v]",1925,1925,0,"Clarence H. White, American, 1871–1925",,,,,"Place made: Croton, New York, United States",1983-01-01,Photography Archives
65152,x1983-1612,Portrait of Clarence H. White,ca. 1906,1901,1911,"F. Holland Day, American, 1864–1933",,,,Photographs,,1983-01-01,Photography Archives
65156,x1983-1640,Portrait of Clarence H. White,ca. 1916,1911,1921,"Karl F. Struss, American, 1886–1981",,,,Photographs,,1983-01-01,Photography Archives
9803,x1983-1607,Portrait of Clarence H. White,1912,1912,0,"Karl F. Struss, American, 1886–1981",,,platinum print (mounted to board),Photographs,,1983-01-01,Photography Archives
65149,x1983-1608,Portrait of Clarence H. White,1912,1912,1912,"Karl F. Struss, American, 1886–1981",,,,Photographs,,1983-01-01,Photography Archives
86325,x1975-77.9,Upper Angel to Observer's Left. Right Foot,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
13892,x1977-51 e,Mayan stone head with headdress,1924–40,1924,1940,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,,1977-01-01,Photography
13891,x1977-51 d,Stone relief of standing figure and Mayan glyphs,1924–40,1924,1940,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,,1977-01-01,Photography
86333,x1975-77.17,Lower Angel to Observer's Left. Fold of Drapery between the Legs,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86341,x1975-77.25,Faith. Drapery Below the Waist and Over the Left Thigh,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86291,x1975-78.10,Sarcophagus. Support,1933,1933,1933,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86331,x1975-77.15,Lower Angel to Observer's Left. Drapery over the Hips,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86368,x1975-77.27 a,"Hope. Head, Facing Nearly Left, as Seen from in Front",1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86370,x1975-77.28 b,Hope. Drapery Below the Waist,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
50843,x1983-860,The Bath-Tub [2/2],ca. 1920–25,1920,1925,"Clarence H. White, American, 1871–1925",,,Gelatin silver print,Photographs,"Place made: North America, United States",1983-01-01,Photography Archives
18618,x1993-168,And Tell of Time... Cobwebbed Time,1947,1947,1947,"Clarence John Laughlin, American, 1905–1985",,,Gelatin silver print,Photographs,,1993-01-01,Photography
65148,x1983-1606,Clarence H. White holding lamp,1902,1902,1902,"Gertrude Käsebier, American, 1852–1934",,,,Photographs,,1983-01-01,Photography Archives
65155,x1983-1639,Portrait of Clarence H. White,ca. 1916,1911,1921,"Karl F. Struss, American, 1886–1981",,,,Photographs,,1983-01-01,Photography Archives
81204,x1983-1682,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
81199,x1983-1677,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
43099,x1983-972,"Shipbuilding, Bath, Maine [55 v]",1917,1917,0,"Clarence H. White, American, 1871–1925",,,,,"Place made: Bath, Maine, United States",1983-01-01,Photography Archives
40864,CHW 002,Clarence H. White and Jane Felix White,ca. 1908–1910,1908,0,"Clarence H. White, American, 1871–1925",,,Autochrome,Photographs,,,Photography Archives
81206,x1983-1684,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
81201,x1983-1679,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
81205,x1983-1683,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
65150,x1983-1609,Portrait of Clarence H. White,1912,1912,1912,"Karl F. Struss, American, 1886–1981",,,,Photographs,,1983-01-01,Photography Archives
65154,x1983-1614,Portrait of Clarence H. White,1912,1912,1912,"Alvin Langdon Coburn, British, born United States, 1882–1966",,,,Photographs,,1983-01-01,Photography Archives
81203,x1983-1681,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
129257,2010-102.9 f,Portrait of Clarence H. White,1903,1903,1903,"Edward Steichen, American, born Luxembourg, 1879–1973",,,Photogravure,Photographs,"Place made: North America, United States, New York, New York",2010-01-01,Photography
81207,x1983-1685,Portrait of Clarence H. White,,0,0,Unknown photographer,,,,Photographs,,1983-01-01,Photography Archives
129330,2010-102.22 l,Portrait – Mrs. Clarence H. White,1905,1905,1905,"Clarence H. White, American, 1871–1925",,,Photogravure,Photographs,"Place made: North America, United States, Ohio, Newark",2010-01-01,Photography
86321,x1975-77.5,"Christ as the Redeemer. Head of Cherub, from the Side",1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86362,x1975-77.19 c,Lower Angel to Observer's Right. Left Wing,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86343,x1975-77.27,"Hope. Head, in Profile to the Left, as Seen from in Front",1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86356,x1975-77.9 a,Upper Angel to Observer's Left. Left Foot,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86336,x1975-77.20,Lower Angel to Observer's Right. Right Hand,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
86323,x1975-77.7,Upper Angel to Observer's Left. Right Wing,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
39168,1999-291,The Cage of Shadow (A Portrait of Larry Colwell),1956,1956,1956,"Clarence John Laughlin, American, 1905–1985",,,Gelatin silver print,Photographs,,1999-01-01,Photography
50845,x1983-728,"Annunciation Ritual, Larson Dancers at St. Mark’s Church",1924,1924,1924,"Clarence H. White, American, 1871–1925",,,Palladium print,,Place made: United States,1983-01-01,Photography Archives
86355,x1975-77.8 a,Upper Angel to Observer's Left. Drapery over the Hips,1932,1932,1932,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,"Place made: North America, United States, Massachusetts, Northampton",1975-01-01,Photography
18441,x1993-125,Untitled (architectural detail),ca. 1928–33,1928,1933,"Clarence Kennedy, American, 1892–1972",,,Gelatin silver print,Photographs,,1993-01-01,Photography
