objectid,objectnumber,title,displaydate,datebegin,dateend,displaymaker,displayculture,displayperiod,medium,classification,displaygeography,accessionyear,department
107808,2014-120,Écorche—Relief of a Horse (Josephine),modeled: ca. 1882; cast: 1979,1882,1979,"Thomas Eakins, American, 1844–1916",,,Bronze,Sculpture,,2014-01-01,American Art
55773,2008-330,Portrait of Alexander the Great,3rd century B.C.,-300,-201,,"Greek, Ptolemaic",,"Fine-grained white marble, possibly Parian",Sculpture,"Place excavated: Egypt ?, Hermopolis",2008-01-01,"Ancient, Byzantine, and Islamic Art"
24658,y1954-135,Amphoriskos,1st century A.D.,1,99,,,Roman Imperial,Translucent dark blue glass,Glass,Place made: Eastern Mediterranean,1954-01-01,"Ancient, Byzantine, and Islamic Art"
23561,y1947-288,Sleeping Birds and Willow,,0,1947,,Chinese,,Hanging scroll; ink and light colors on silk,Paintings,"Place made: Asia, China",1947-01-01,Asian Art
29507,y1965-203,Statuette of Horus (Harpocrates),,-304,-30,Egyptian,,Ptolemaic,Bronze,Metal,,1965-01-01,"Ancient, Byzantine, and Islamic Art"
29307,y1964-191,"First Snow, North River",,1904,1964,"Leon Kroll, American, 1884–1974",,,Oil on wood panel,Paintings,"Place depicted: United States, New York, New York",1964-01-01,American Art
39912,2000-102,Stele of an unknown banqueter,1st – 2nd century A.D.,0,199,,Roman,,Dark gray marble,Sculpture,Place excavated: Turkey,2000-01-01,"Ancient, Byzantine, and Islamic Art"
36605,1998-388,Square-headed fibula,late 6th century,571,599,,Frankish,,Silver with niello and gilding,Ornament,Place made: Western Europe,1998-01-01,"Ancient, Byzantine, and Islamic Art"
5888,x1946-8,Landscape,,1831,1869,"Thomas Creswick, British, 1811–1869",,,Watercolor,Drawings,,1946-01-01,Prints and Drawings
135676,2019-122,War in Vietnam: gunner on helicopter,"May 23, 1964",1964,1964,"Larry Burrows, British, 1926–1971",,,Gelatin silver print,Photographs,"Place depicted: Asia, Vietnam",2019-01-01,Photography
24311,y1953-35,High Peak and Round Top (Catskill) in Winter,1866,1866,1866,"Charles Herbert Moore, American, 1840–1930",,,Oil on canvas,Paintings,"Place depicted: North America, United States, New York, Catskill Mountains",1953-01-01,American Art
23371,y1950-104,Tomb figure: horseman,early 6th century,500,529,,Chinese,"Period of Disunity, 220–589","Gray earthenware with cream colored slip, red paint",Ceramic,"Place excavated: Asia, China, Henan province, northwest of Loyang Fu",1950-01-01,Asian Art
33384,y1990-66,Plaque: Flying figure carrying an object,ca. 1400,1395,1405,"Embriachi Workshop, Italian, 14th–15th century",,,Bone,Bone,"Place made: Europe, Italy, Venice or Florence",1990-01-01,European Painting and Sculpture 
51273,2006-488,Untitled,1990s,1990,1999,"Toshiko Takaezu, American, 1922–2011",,,Porcelain,Ceramics,"Place made: North America, United States",2006-01-01,Modern and Contemporary Art
18538,x1993-141,"Virgil, Dante, and Petrarch: Study for Lunette, Grand Staircase, Detroit Public Library",1922,1922,1922,"Edwin Howland Blashfield, American, 1848–1936",,,"Charcoal, heightened with white chalk",Drawings,,1993-01-01,Prints and Drawings
42181,y1962-6,Pink Flower,late 17th century,1650,1699,,Mughal,,Opaque watercolor on paper,Manuscripts,,1962-01-01,Asian Art
62505,2011-122,Ring 1,1999,1999,1999,"Peggy Preheim, American, born 1963",,,Silver selenium print,Photographs,"Place made: North America, United States",2011-01-01,Modern and Contemporary Art
36213,PU 8190,Fishing rod and line,before 1894,1850,1894,,Iñupiaq,,Wood and whale bone,Tools / Equipment / Implements,"Place made: North America, United States, Alaska, King Island, North Alaska",,Art of the Ancient Americas
137178,2019-410,Spherical Music,1945,1945,1945,"Albert Urban, American, born Germany, 1909–1959",,,Color screenprint,Prints,"Place made: North America, United States, New York, New York",2019-01-01,Prints and Drawings
137236,2019-443,Abraham Abraham,2012,2012,2012,"Nira Pereg, Israeli, born 1969",,,Video,Time-based works,,2019-01-01,Modern and Contemporary Art
33231,y1990-4,"Ring-shaped vessel (kernos) with three attached jars: horsemen, lyre-player",ca. 600–550 B.C.,-600,-550,,"South Italian, Daunian",,Ceramic,Ceramic,"Place made: Europe, Northern Apulia, Southern Italy",1990-01-01,"Ancient, Byzantine, and Islamic Art"
7236,x1948-1726,Three studies of men in conflict,,1775,1826,"John Flaxman, British, 1755–1826",,,Graphite,Drawings,,1948-01-01,Prints and Drawings
35686,PU 5356,Grease dish in the form of a seal,before 1882,1840,1882,,Northern Northwest Coast,,Wood,Vessels,"Place collected: North America, United States, Southeast Alaska",,Art of the Ancient Americas
35574,PU 5045,Kuhke too-gu (circular mat),before 1882,1870,1882,,Tlingit,,Spruce root twining with grass false embroidery,Textiles,Place collected: North America,,Art of the Ancient Americas
27970,y1959-42,Annunciation to the Shepherds,ca. 1425,1425,1425,"Embriachi Workshop, Italian, 14th–15th century",,,Ivory,Ivories,"Place made: Europe, Italy, Venice or Florence",1959-01-01,European Painting and Sculpture 
21979,y1943-124,Jar,,-4000,-2925,,Egyptian,Predynastic Period,Black porphyry with large white inclusions,Vessels,,1943-01-01,"Ancient, Byzantine, and Islamic Art"
1535,2016-716,Elephants Bathing,,0,0,,Indian,,Opaque watercolor on paper,Paintings,,2016-01-01,Asian Art
135295,2019-83,"Dream Walk, trial proof 5",1977,1977,1977,"Helen Frankenthaler, American, 1928–2011 | Printed and published by Tyler Graphics, Ltd. , Bedford Village, New York, founded 1974",,,Color lithograph on HMP handmade paper,Prints,"Place made: North America, United States, New York, Bedford Village",2019-01-01,Prints and Drawings
8217,x1948-89,Portrait of a woman,,1789,1821,"Henry Edridge, British, 1769–1821",,,Graphite and wash,Drawings,,1948-01-01,Prints and Drawings
33287,y1989-11,Rim-fragment of a bowl with lotus flowers,1550–1291 B.C.,-1550,-1291,,Egyptian,"New Kingdom, 18th Dynasty",Faience,Faience,,1989-01-01,"Ancient, Byzantine, and Islamic Art"
34241,y53,Horizontal Rinceaux,late 15th century,1471,1499,,Italian,,Stone,Architectural Elements,"Place made: Europe, Italy",,European Painting and Sculpture 
19543,y1930-412,Bottle,4th century,300,399,,Roman,,Light blue glass,Glass,Place excavated: Syria,1930-01-01,"Ancient, Byzantine, and Islamic Art"
46877,1996-265,"A Gondolier, Venice",ca. 1835,1830,1840,"John Frederick Lewis, British, 1805–1876",,,Oil on canvas,Paintings,"Place depicted: Europe, Italy, Venice",1996-01-01,European Painting and Sculpture 
137560,2020-128,"New York Times, Thursday, January 2, 1997",1997,1997,1997,"Nicky Nodjoumi, Iranian American, born 1942",,,"Gouache, acrylic, and graphite on newsprint",Paintings,"Place made: North America, United States, New York, New York",2020-01-01,Modern and Contemporary Art
31888,y1974-7,Yas (Yasuo Kuniyoshi),"1929, cast 1973",1929,1929,"Dorothea S. Greenbaum, American, 1893–1986",,,Terracotta,Sculpture,,1974-01-01,American Art
6968,x1948-1640,Study for Mirth and Melancholy,ca. 1788,1783,1793,"George Romney, British, 1734–1802",,,"Pen and black ink, black and gray wash over graphite",Drawings,,1948-01-01,Prints and Drawings
135935,2019-297,Red-and-green painted bowl with fish and water plants,13th century,1200,1299,,Chinese,"Southern Song dynasty, 1127–1279 | Jin dynasty, 1115–1234",Cizhou ware with underglaze cream slip and overglaze enamel,Ceramic,,2019-01-01,Asian Art
19244,y1929-244,"Plate with View near Conway, New Hampshire",,1821,1929,"Wm. Adams & Sons, British | after Thomas Cole, American, 1801–1848",,,Earthenware,Ceramics,"Place made: England, Stoke-Upon-Trent",1929-01-01,European Painting and Sculpture 
137486,2020-54,"New York Times, Saturday, April 13, 1996",1996,1996,1996,"Nicky Nodjoumi, Iranian American, born 1942",,,"Gouache, acrylic, and graphite on newsprint",Paintings,"Place made: North America, United States, New York, New York",2020-01-01,Modern and Contemporary Art
23894,y1950-81,Tomb figure: kneeling figure,early 6th century,500,529,,Chinese,"Period of Disunity, 220–589","Gray earthenware with white slip, red paint",Ceramic,"Place excavated: Asia, China, Henan province, northwest of Loyang Fu",1950-01-01,Asian Art
7035,x1949-230,Joseph Telling his Dream,1638,1638,1638,"Rembrandt van Rijn, Dutch, 1606–1669",,,"Etching, third state, 1638",Prints,,1949-01-01,Prints and Drawings
