objectid,objectnumber,title,displaydate,datebegin,dateend,displaymaker,displayculture,displayperiod,medium,classification,displaygeography,accessionyear,department
40060,2001-60,Payaso azul (Blue Clown),1980,1980,1980,"Alejandro Colunga, Mexican, born 1948",,,Lithograph,Prints,"Place made: North America, Mexico",2001-01-01,Prints and Drawings
40079,2001-97,Una silla para todos (A Chair for Everyone),1998,1998,1998,"Fernando Rodríguez, Cuban, born 1970",,,Watercolor,Drawings,"Place made: North America, Cuba",2001-01-01,Prints and Drawings
40185,2001-86,Muerte y resurrección (Death and Resurrection),1995,1995,1995,"Gustavo Monroy, Mexican, born 1959",,,Oil on linen,Paintings,"Place made: North America, Mexico, Mexico City",2001-01-01,Modern and Contemporary Art
40184,2001-85,Jaguar,1962,1962,1962,"Luis Ortiz Monasterio, Mexican, 1906–1990",,,Bronze,Sculpture,"Place made: North America, Mexico, Mexico City",2001-01-01,American Art
40061,2001-93,Toy An-Horse,1997,1997,1997,"Marcos Ramírez Erre, Mexican, born 1961",,,Wood and metal,Sculpture,,2001-01-01,Modern and Contemporary Art
40238,2001-129,Autorretrato con sapo y chapulín (Self-Portrait with Toad and Grasshopper),1999,1999,1999,"Francisco Toledo, Mexican, 1940–2019",,,Etching/aquatint,Prints,"Place made: North America, Mexico, Oaxaca, Oaxaca City",2001-01-01,Prints and Drawings
40094,2001-76,"Serie, Rojo, Cocodrilo (Series, Red, Crocodile)",ca. 1990,1985,1995,"Sergio Hernández, Mexican, born 1957",,,Etching,Prints,"Place made: North America, Mexico",2001-01-01,Prints and Drawings
40081,2001-63,Mask,ca. 1979,1974,1984,"Rafael Coronel, Mexican, 1932–2019",,,Oil on linen,Paintings,"Place made: North America, Mexico",2001-01-01,Modern and Contemporary Art
40200,2001-104,Cara anaranjada y blanco (Orange and white face),1982,1982,1982,"Rufino Tamayo, Mexican, 1899–1991",,,Oil on linen,Paintings,"Place made: North America, Mexico, Mexico City",2001-01-01,Modern and Contemporary Art
40057,2001-52,Secretera,1998,1998,1998,"Los Carpinteros, Cuban, collective founded 1992",,,Watercolor,Drawings,"Place made: North America, Cuba, Havana",2001-01-01,Prints and Drawings
