objectid,objectnumber,title,displaydate,datebegin,dateend,displaymaker,displayculture,displayperiod,medium,classification,displaygeography,accessionyear,department
44861,PP1,"William III, King of England, Prince of Orange and Nassau (1650–1702)",ca. 1672–89,1672,1689,"Caspar Netscher, Dutch, 1639–1684 | Person depicted: William III, Prince of Orange & Nassau & King of England, British, 1650–1702 | Located in Faculty Room, Nassau Hall",,,Oil on canvas,Paintings,,,European Painting and Sculpture 
44862,PP10,"Gilbert Tennent (1703–1764), Trustee (1747–64)",,1796,1842,"Jacob Eichholtz, American, 1776–1842 | after Gustavus Hesselius, American, 1682–1755",,,Oil on canvas,Paintings,,,American Art
44862,PP10,"Gilbert Tennent (1703–1764), Trustee (1747–64)",,1796,1842,"Jacob Eichholtz, American, 1776–1842 | after Gustavus Hesselius, American, 1682–1755",,,Oil on canvas,Paintings,,,American Art
44857,PP100,Laurence Hutton (1843-1904),1892,1892,1892,"Dora Wheeler Keith, American, 1857–1940",,,Oil on canvas,Paintings,,,American Art
44863,PP101,Portrait of Laurence Hutton,1894,1894,1894,"Dora Wheeler Keith, American, 1857–1940 | Person depicted: Laurence Hutton, American, 1843–1904",,,Pastel,Drawings,,,Prints and Drawings
44867,PP103,Christian Frederick Gauss (1878-1951),1946,1946,1946,"Henry Ernest Schnakenberg, American, 1892–1970",,,Oil on canvas,Paintings,,,American Art
44874,PP104,Robert Kilburn Root (1877-1950),1945,1945,1945,"Ernest Ludwig Ipsen, American, 1869–1951",,,Oil on canvas,Paintings,,,American Art
44875,PP105,"Henry Norris Russell, Class of 1897 (1877-1957)",1929,1929,1929,"Samuel Morrow Palmer, American, 1876–1936",,,Oil on canvas,Paintings,,,American Art
44876,PP106,William John Sinclair (1877-1935),1938,1938,1938,"Robert Bruce Horsfall, American, 1869–1948",,,Oil on canvas,Paintings,,,American Art
45070,PP107,Augustus Trowbridge (1870-1934),1934,1934,1934,Enrico Licari,,,Bronze,Sculpture,,,European Painting and Sculpture 
45071,PP108,Edwin Grant Conklin (1863-1952),1938,1938,1938,"John Young-Hunter, American, 1874–1955",,,Oil on canvas,Paintings,,,American Art
45072,PP109,Radcliffe Heermance (1882-1958),1946,1946,1946,"Edmund Minor Archer, American, 1904-–1986",,,Oil on canvas,Paintings,,,American Art
45073,PP11,"Samuel Finley (1715–1766), President (1761–66)",1870,1870,1870,"Charles Walker Lind, American, active 1850–1875, died 1882 | after John Hesselius, American, 1728–1778",,,Oil on canvas,Paintings,,,American Art
45074,PP110,Frank Albert Fetter (1863-1949),1946,1946,1946,"Joe Brown, American, 1909–1985",,,Bronze,Sculpture,,,American Art
45075,PP111,Alfred Goldsborough Mayor (1868-1922),,1922,1923,"Harriet Hyatt Mayor, American, 1868–1960",,,Composition plaque with head in relief,Reliefs,,,American Art
45076,PP112,Henry Lane Eno (1871-1928),,1891,1934,Unknown,,,Oil on canvas,Paintings,,,American Art
45078,PP113,"Arthur Maurice Greene, Dean of the School of Engineering, 1922-1940 (1872-1953)",1946,1946,1946,"Maurice Molarsky, American, 1885–1950",,,Oil on canvas,Paintings,,,American Art
45081,PP116,Samuel Woodruff (1700-1768),1897,1897,1897,Clara Wokeman,,,Oil on canvas,Paintings,,,American Art
