Last Name,First Name,Class,Graduate,USA or CSA,Kind of service,State Served,MW status,Death Date,Death Info.,Service Record,
Tucker,Charles,1831,Yes,CSA,soldier,,MW Yes,,,,
Mason,Barlow,1833,Yes,USA,Captain,,MW Addition,7/21/1861,mortally wounded at Battle of Manassas,Under General Joseph E. Johnson,this could also be James Alexander Waddell
Archer,James Jay,1835,Yes,CSA,soldier,Reg. Army,MW Yes,10/24/1864,"from wounds sustained at Richmond, Virginia",Brigadier General,
Wilson,William Sydney,1835,Yes,CSA,soldier,MS,MW Addition,11/3/1862,mortally wounded at Battle of Sharpsburg in 1862,"Lieutenant Colonel, Field and Staff, 48th Infantry",
Southard,Henry Lewis,1836,Yes,USA,soldier,NY,MW Yes,6/3/1864,"died from wounds received on May 27th at Bermuda Hundred, Virginia","Captain, 1st New York Volunteer Engineers, Company K",
Branch,Lawrence O'Brien*,1838,No,CSA,soldier,NC,MW Yes,9/17/1862,"killed in battle at Sharpsburg, Maryland","Brigadier General, 33rd North Carolina Regiment",
Colwell,James Smith,1839,Yes,USA,soldier,PA,MW Yes,9/17/1862,killed in action at Battle of Antietam,"Captain, 36th Infantry, Pennsylvania Volunteers, Company A (Carlisle Fencibles)",
Graham,George Washington,1840,Yes,CSA,soldier,VA,MW Addition,4/11/1865,died of acute rheumatism ,"Private, 54th Infantry, Virginia, Company K",
Ripley,Fritz-Henry,1840,Yes,CSA,soldier,AL,MW Addition,4/3/1865,killed in Battle at Spanish Fort,"Captain, 9th Infantry, Alabama, Company A",
Woolfolk,Joseph Washington,1840,Yes,CSA,soldier,GA,MW Yes,9/5/1864,killed by train while guarding a bridge,"Field and Staff, 17th Georgia Defenders Volunteers, Captain Chapman's Company",
McNair,Robert Houston,1842,Yes,CSA,,MI,MW Addition,4/12/1862,died from wounds received at Battle of Shiloh,"Captain, 33rd Regiment, Mississippi Volunteers, Company E",
Bell,,1843,No,USA,soldier,Reg. Army,MW Yes,12/31/1862,killed in Battle of Stone River's (Murfreesboro) in Tennessee,"Brevet Lieutenant Colonel (posthumously); 15th Regiment, Infantry",
Howell,Horatio Stockton,1843,No,USA,chaplain,PA,MW Addition,7/1/1863,killed at Gettysburg; shot of steps of church while tending to sick,"Chaplain, 90th Infantry, Pennsylvania",
Lorance,James Houston,1843,Yes,CSA?,chaplain,,MW Addition,6/1/1862,contracted typhoid fever while tending to the wounded,,
Gilliam,James Sothoron,1844,Yes,USA,medical/surgical/Naval,U.S. Navy,MW Addition,6/30/1861,lost on the USS Levant,Assistant Surgeon,
Bartlett,Henry Clay,1847,Yes,USA,soldier,NJ,MW Yes,5/8/1864,"wounded; died the next day; Mill Creek Gap, Dalton, Georgia","Captain, 33rd Infantry, New Jersey, Company G",
Benbury,John Avery,1847,Yes,CSA,soldier,NC,MW Yes,7/4/1862,"died from wounds received (July 1st) at Battle of Malvern Hill, Virginia","First Lieutenant, 1st Infantry North Carolina, Company A (Captain posthumously)",
Elliottt,"Daniel ""Stewart""",1847,No,CSA,soldier,GA,MW Addition,8/3/1862,discharged from war due to health issues; died after he mustered out,"Private, Charles DuBignon's Company, Phillips' Legion, Georgia Volunteers",
Moore,Isaiah N.,1847,No,USA,soldier,PA,MW Yes,1/16/1862,killed while defending Fort Craig in New Mexico,"Captain, First Cavalry, Dragoons; graduate of United States Military Academy (West Point) in 1851",
Sergeant,William,1847,Yes,USA,soldier,Reg. Army,MW Yes,4/11/1865,wounded at Battle of White Oak Road; died on boat while being transferred to D.C.,"Captain, 12th Infantry, United States Army; Colonel, 210th Pennsylvania Volunteers",
Sturgess,John Reynolds,1847,No,CSA,soldier,GA,MW Yes,7/1/1862,"killed at Battle of Malvern Hill, Virginia","Colonel, 3rd Regiment, Georgia; also part of Burke's Guard",
Clapp,Fayette,1848,No,USA,medical/surgical/Naval,MO,MW Addition,8/29/1864,died from effects of chronic diarrhea contracted on ship,"Assistant Surgeon, 7th Regiment, Missouri State Militia Cavalry; Surgeon, United States Steamer Marmora",
Harrison,Dabney Carr,1848,Yes,CSA,chaplain/soldier,VA,MW Yes,2/16/1862,"died from wounds received at Battle of Fort Donelson, Tennessee","Chaplain and Captain, 57th Virginia, Infantry, Company K; wounded on 15th, died on 16th ",
Harrison,Randolph,1848,Yes,CSA,medical/surgical,VA,MW Yes,9/22/1863,wounded at Bethel (Seven Pines); died of typhoid fever,"Lieutenant Colonel, 4th Virginia, Heavy Artillery; also possibly in Navy?","with United States Christian Commission at Army hospitals, City Point Field Hospital, Virginia"
Oliphant,Joseph Burr,1848,Yes,USA,Navy,FL,MW Addition,8/29/1862,"died of yellow fever; must confirm this, died in Key West, FL on U.S. Friggate St. Lawrence",,
